"repeatmasker_name" "repeatmasker_subtype" "colors" "fam_gen_perc_RM"
"256" "Loa-2_DF_pol" "LINE" "not_kmer" 0.00801343228178205
"257" "LOA-2_DGri_pol" "LINE" "not_kmer" 0.063812131157851
"258" "Loa-2_DK_pol" "LINE" "not_kmer" 0.129889219785748
"259" "LOA-2_DPer_gag" "LINE" "not_kmer" 0.0144988824386393
"260" "LOA-2_DPer_pol" "LINE" "not_kmer" 0.36593409997339
"261" "Loa-2_DTa_pol" "LINE" "not_kmer" 0.015990955473433
"262" "Loa-2_RPr_pol" "LINE" "not_kmer" 0.0527897184824657
"263" "Loa-3_DTa_pol" "LINE" "not_kmer" 0.567947901883881
"264" "LOA-8_AAe_pol" "LINE" "not_kmer" 0.0566759545919823
"265" "Low.complexity1" "LC_DNA" "not_kmer" 0.0293088651254239
"266" "Low.complexity10" "LC_DNA" "kmer_1" 0.226838729155151
"267" "Low.complexity100" "LC_DNA" "not_kmer" 0.00117660999999698
"268" "Low.complexity101" "LC_DNA" "not_kmer" 0.0190355093581941
"269" "Low.complexity102" "LC_DNA" "not_kmer" 0.00696502108954287
"270" "Low.complexity103" "LC_DNA" "not_kmer" 0.0138766819423489
"271" "Low.complexity104" "LC_DNA" "not_kmer" 0.0217682917968637
"272" "Low.complexity105" "LC_DNA" "not_kmer" 0.000154375527666461
"273" "Low.complexity106" "LC_DNA" "not_kmer" 6.91333884767193e-05
"274" "Low.complexity107" "LC_DNA" "not_kmer" 0.000166457090701227
"275" "Low.complexity108" "LC_DNA" "not_kmer" 0.0096229649571915
"276" "Low.complexity109" "LC_DNA" "not_kmer" 0.00304354708784159
"277" "Low.complexity11" "LC_DNA" "not_kmer" 0.0727588641840688
"278" "Low.complexity110" "LC_DNA" "not_kmer" 0.000326873399885071
"279" "Low.complexity111" "LC_DNA" "not_kmer" 0.0440084357500296
"280" "Low.complexity112" "LC_DNA" "not_kmer" 0.271686497937123
"281" "Low.complexity113" "LC_DNA" "not_kmer" 0.0707036560722657
"282" "Low.complexity114" "LC_DNA" "not_kmer" 0.0657304148885934
"283" "Low.complexity115" "LC_DNA" "not_kmer" 0.0656760478549369
"284" "Low.complexity116" "LC_DNA" "not_kmer" 0.126538935236412
"285" "Low.complexity117" "LC_DNA" "not_kmer" 0.0193254668710285
"286" "Low.complexity118" "LC_DNA" "not_kmer" 0.0286517623359219
"287" "Low.complexity119" "LC_DNA" "not_kmer" 0.0391791665258549
"288" "Low.complexity12" "LC_DNA" "not_kmer" 0.041836103596584
