kmer_id	Contig
kmer_100432637.0	Contig_8
kmer_397350992.0	Contig_8
kmer_522760327.0	Contig_8
kmer_526435649.0	Contig_8
kmer_511136990.0	Contig_8
kmer_392238222.0	Contig_8
kmer_283547460.0	Contig_8
kmer_425228132.0	Contig_8
kmer_291593990.0	Contig_8
kmer_55444817.0	Contig_8
kmer_123122859.0	Contig_8
kmer_286106347.0	Contig_8
kmer_8731076.0	Contig_8
kmer_16893518.0	Contig_8
kmer_36159232.0	Contig_8
kmer_82585717.0	Contig_8
kmer_194985043.0	Contig_8
kmer_394999529.0	Contig_8
kmer_349366700.0	Contig_8
kmer_99989870.0	Contig_8
kmer_234443391.0	Contig_8
kmer_498383024.0	Contig_8
kmer_261324826.0	Contig_8
kmer_282408351.0	Contig_8
kmer_328405577.0	Contig_8
kmer_452380394.0	Contig_9
kmer_198450127.0	Contig_9
kmer_180389634.0	Contig_9
kmer_419726836.0	Contig_9
kmer_185923649.0	Contig_9
kmer_483279150.0	Contig_9
kmer_86547759.0	Contig_9
kmer_204383797.0	Contig_9
kmer_462330204.0	Contig_9
kmer_497604371.0	Contig_9
kmer_254592725.0	Contig_9
kmer_499546193.0	Contig_9
kmer_446157660.0	Contig_9
kmer_266694114.0	Contig_9
kmer_100482028.0	Contig_9
kmer_235442356.0	Contig_9
kmer_449729234.0	Contig_9
kmer_270052557.0	Contig_9
kmer_387449356.0	Contig_9
kmer_442637989.0	Contig_9
kmer_361476400.0	Contig_9
kmer_506125847.0	Contig_9
kmer_339966177.0	Contig_9
kmer_347742024.0	Contig_9
kmer_344269592.0	Contig_9
kmer_146818639.0	Contig_9
kmer_440363677.0	Contig_9
kmer_375304266.0	Contig_9
kmer_491557321.0	Contig_9
kmer_184372773.0	Contig_9
kmer_349604191.0	Contig_9
kmer_297368998.0	Contig_9
kmer_94561095.0	Contig_9
kmer_221059475.0	Contig_9
kmer_484992890.0	Contig_9
kmer_107780900.0	Contig_9
kmer_252631425.0	Contig_9
kmer_210542323.0	Contig_9
kmer_89246708.0	Contig_9
kmer_333874354.0	Contig_9
kmer_174080170.0	Contig_9
kmer_74497978.0	Contig_9
kmer_33005848.0	Contig_9
kmer_353413130.0	Contig_9
kmer_412938135.0	Contig_9
kmer_154753681.0	Contig_9
kmer_209571196.0	Contig_9
